2021-12-16 15:12:84 INFO  CarsBuyers :42 - Select Car from Dropdown list [[ChromeDriver: chrome on WINDOWS (3e30506cb95e626496816d555ab93287)] -> xpath: //select[@id='makes']]
2021-12-16 15:12:317 INFO  CarsBuyers :47 - Selecting Model : [[ChromeDriver: chrome on WINDOWS (3e30506cb95e626496816d555ab93287)] -> xpath: //select[@id='models']]
2021-12-16 15:12:610 INFO  CarsBuyers :52 - Selecting location : [[ChromeDriver: chrome on WINDOWS (3e30506cb95e626496816d555ab93287)] -> xpath: //select[@id='locations']]
2021-12-16 15:12:810 INFO  CarsBuyers :57 - Selecting Price : [[ChromeDriver: chrome on WINDOWS (3e30506cb95e626496816d555ab93287)] -> xpath: //select[@id='priceTo']]
2021-12-16 15:12:78 INFO  CarsBuyers :62 - Selecting Nextcar : Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='search-submit']'
2021-12-16 15:12:128 INFO  CarsBuyers :67 - Getting Text from : [[ChromeDriver: chrome on WINDOWS (3e30506cb95e626496816d555ab93287)] -> css selector: .listing-search-title]
2021-12-16 15:12:442 INFO  ManageDriver :30 - Launching chrome Browser
2021-12-16 15:12:785 INFO  CarsBuyers :42 - Select Car from Dropdown list [[ChromeDriver: chrome on WINDOWS (74151c5f88d434954a1d9be5fa148d43)] -> xpath: //select[@id='makes']]
2021-12-16 15:12:44 INFO  CarsBuyers :47 - Selecting Model : [[ChromeDriver: chrome on WINDOWS (74151c5f88d434954a1d9be5fa148d43)] -> xpath: //select[@id='models']]
2021-12-16 15:12:312 INFO  CarsBuyers :52 - Selecting location : [[ChromeDriver: chrome on WINDOWS (74151c5f88d434954a1d9be5fa148d43)] -> xpath: //select[@id='locations']]
2021-12-16 15:12:564 INFO  CarsBuyers :57 - Selecting Price : [[ChromeDriver: chrome on WINDOWS (74151c5f88d434954a1d9be5fa148d43)] -> xpath: //select[@id='priceTo']]
2021-12-16 15:12:247 INFO  CarsBuyers :62 - Selecting Nextcar : Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='search-submit']'
2021-12-16 15:12:285 INFO  CarsBuyers :67 - Getting Text from : [[ChromeDriver: chrome on WINDOWS (74151c5f88d434954a1d9be5fa148d43)] -> css selector: .listing-search-title]
2021-12-16 15:12:377 INFO  ManageDriver :30 - Launching chrome Browser
2021-12-16 15:12:26 INFO  CarsBuyers :42 - Select Car from Dropdown list [[ChromeDriver: chrome on WINDOWS (b5b288c20162bb6e24e774f8233c9edf)] -> xpath: //select[@id='makes']]
2021-12-16 15:12:336 INFO  CarsBuyers :47 - Selecting Model : [[ChromeDriver: chrome on WINDOWS (b5b288c20162bb6e24e774f8233c9edf)] -> xpath: //select[@id='models']]
2021-12-16 15:12:617 INFO  CarsBuyers :52 - Selecting location : [[ChromeDriver: chrome on WINDOWS (b5b288c20162bb6e24e774f8233c9edf)] -> xpath: //select[@id='locations']]
